Statename,Districtname,Subdistrictname,Blockname,Healthblockname,Healthfacilitytype,Facilityname,NIN,latitude,longitude,facility_type_standardized
Odisha,Baleshwar,Similia,Simulia,Simulia,primary health centre,Khirkona,8722335877,21.20394,86.70366,phc
Odisha,Baleshwar,Similia,Simulia,Simulia,primary health centre,Jamujhadi,5744187724,21.20407,86.64085,phc
Odisha,Kendujhar,Ghasipura,Ghasipura,Ghasipura,primary health centre,Bhandaridiha,8162212610,21.2048,86.0197,phc
Odisha,Kendujhar,Anandapur,Anandapur,Anandapur,primary health centre,Anandapur,1578783753,21.2058,86.14752,phc
Odisha,Bhadrak,Basudebpur,Basudevpur,Basudevpur,primary health centre,Betada,2131544120,21.20642,86.8001,phc
Odisha,Deogarh,Kundheigola,Reamal,Reamal,primary health centre,Kundheigola,8437514857,21.2065,84.81507,phc
Odisha,Kendujhar,Nandipada,Hatadihi,Hatadihi,primary health centre,Sundarpal,1535576159,21.2077,86.27258,phc
Odisha,Bargarh,Bheden,Bheden,Bheden,primary health centre,Chichinda,3284186735,21.20851,83.80014,phc
Odisha,Kendujhar,Soso,Hatadihi,Hatadihi,primary health centre,Soso,7217112320,21.21222,86.33052,phc
Odisha,Anugul,Kaniha,Kaniha,Kaniha,primary health centre,Bajrakote,1683874265,21.21319,85.04164,phc
Odisha,Kendujhar,Ghasipura,Ghasipura,Ghasipura,primary health centre,Nipania,3612542120,21.21331,86.04395,phc
Odisha,Kendujhar,Nandipada,Anandapur,Anandapur,primary health centre,Tartara,7777432175,21.21574,86.20277,phc
Odisha,Bargarh,Barapali,Barpali,Barpali,primary health centre,Kumbhari,4857183182,21.21748,83.66174,phc
Odisha,Kendujhar,Anandapur,Anandapur,Anandapur,primary health centre,Salabani,3344871334,21.2222,86.16753,phc
Odisha,Baleshwar,Soro,Soro,Soro,primary health centre,Pakhar,3738375751,21.2237,86.73627,phc
Odisha,Baleshwar,Similia,Khaira,Khaira,primary health centre,Dungura,6816674433,21.22746,86.47847,phc
Odisha,Sambalpur,Naktideul,Naktideul,Naktideul,primary health centre,Batagaon,1111347629,21.24157,84.65826,phc
Odisha,Baleshwar,Soro,Bahanaga,Bahanaga,primary health centre,Kharashapur,8613768459,21.24364,86.80965,phc
Odisha,Bargarh,Sohela,Sohella,Sohela,primary health centre,Panimora,5444634249,21.24396,83.45452,phc
Odisha,Baleshwar,Soro,Soro,Soro,primary health centre,Dandapalsa,3415447386,21.24626,86.61625,phc
Odisha,Kendujhar,Telkoi,Telkoi,Telkoi,primary health centre,Krushnapur,7417277824,21.2501,85.48212,phc
Odisha,Anugul,Kaniha,Kaniha,Kaniha,primary health centre,Kuluma,5153158257,21.25176,84.98105,phc
Odisha,Sambalpur,Dhama,Maneswar,Maneswar,primary health centre,Dhama,1111346639,21.26004,83.92458,phc
Odisha,Bargarh,Sohela,Sohella,Sohela,primary health centre,Tabada,1622123188,21.26365,83.29905,phc
Odisha,Bargarh,Bheden,Bheden,Bheden,primary health centre,Remunda,7173634838,21.26579,83.76416,phc
Odisha,Baleshwar,Soro,Bahanaga,Bahanaga,primary health centre,Bishnupur,2688243274,21.26638,86.83557,phc
Odisha,Baleshwar,Khaira,Khaira,Khaira,primary health centre,Kupari,8648822552,21.27394,86.41882,phc
Odisha,Bargarh,Bargarh Sadar,Bargarh,Bargarh,primary health centre,Khuntpali,1111423768,21.27473,83.62804,phc
Odisha,Kendujhar,Telkoi,Telkoi,Telkoi,primary health centre,Karadangi,1111382758,21.28439,85.33138,phc
Odisha,Baleshwar,Khaira,Khaira,Khaira,primary health centre,Gandibed,1868434265,21.28505,86.53919,phc
Odisha,Baleshwar,Soro,Bahanaga,Bahanaga,primary health centre,Saud,5844561786,21.2875,86.76028,phc
Odisha,Baleshwar,Khaira,Khaira,Khaira,primary health centre,Tudigadia,2275128110,21.29469,86.59612,phc
Odisha,Kendujhar,Ghasipura,Anandapur,Anandapur,primary health centre,Dhakotha,7341453848,21.29999,86.06817,phc
Odisha,Bargarh,Bargarh Sadar,Bargarh,Bargarh,primary health centre,Adgaon,1441387741,21.30604,83.70743,phc
