district,village_id,name,subdistrict,tru_2011,nearest_dist_km,covered
sonepur,419800,Karla Muhan Jungle,Tarbha,Rural,4.205127218702879,Covered
malkangiri,430750,Bateru,Paparmetla,Rural,4.20537444869488,Covered
kalahandi,423497,Sankariguda,Sadar,Rural,4.205478514855351,Covered
kalahandi,424011,Negiguda,Kokasara,Rural,4.205703753257689,Covered
kalahandi,424012,Mangalpur,Kokasara,Rural,4.205703753257689,Covered
keonjhar,385819,Sanabaliposi,Patana,Rural,4.205737365123541,Covered
anugul,403821,Jamujodi,Kaniha,Rural,4.206400483633518,Covered
jharsuguda,381155,Babuchipidihi,Laikera,Rural,4.207353615436115,Covered
rayagada,427028,Kitilapadu,Gudari,Rural,4.207596210359718,Covered
koraput,428579,Narikhuluwa,Narayanpatana,Rural,4.207909182991988,Covered
malkangiri,431004,Arnamala,Kalimela,Rural,4.208202989315512,Covered
ganjam,410566,Baliapata,Bhanjanagar,Rural,4.209170920303269,Covered
deogarh,383162,Upararanijharan,Kundheigola,Rural,4.2095682565645065,Covered
anugul,405062,Mindol,Thakurgarh,Rural,4.209918468693209,Covered
nuapada,421760,Maraguda,Nuapada,Rural,4.210140489327633,Covered
koraput,429003,Duruguda,Koraput Town,Rural,4.210789292707274,Covered
deogarh,382639,Kadalimunda,Debagarh,Rural,4.211784466933551,Covered
anugul,404543,Madhupur,Handapa,Rural,4.212331400548098,Covered
balangir,420289,Talpali,Tushura,Rural,4.212511782810327,Covered
rayagada,425725,Sankesu,Kalyanasingpur,Rural,4.2127802902899845,Covered
balangir,420112,Brahmanidunguri,Balangir,Rural,4.212839784440957,Covered
anugul,404547,Ranibhuin,Handapa,Rural,4.213269236942057,Covered
balangir,420179,Pakhanchepa,Balangir,Rural,4.21392341827047,Covered
rayagada,425835,Gorinima,Kashipur,Rural,4.214202112009404,Covered
anugul,403915,Sibarampur,Talcher Sadar,Rural,4.214388595947964,Covered
rayagada,427027,Tunukhal,Gudari,Rural,4.215073722581367,Covered
malkangiri,430749,Chikipanesa,Paparmetla,Rural,4.215197156944526,Covered
deogarh,383366,Ratnakhalinali,Reamal,Rural,4.215836978800273,Covered
sundargarh,383476,Jamukani,Hemgir,Rural,4.216199267546524,Covered
sundargarh,383477,Jamakani R F,Hemgir,Rural,4.216199267546524,Covered
malkangiri,431151,Pendikonda,Motu,Rural,4.216435870305199,Covered
sonepur,419566,Kainful,Sonapur,Rural,4.21647808651113,Covered
malkangiri,430510,Tulaguram,Mudulipada,Rural,4.216679706229231,Covered
kandhamal,415395,Kuruteii,Phulabani,Rural,4.218142168942497,Covered
kalahandi,424022,Ghumerguda,Kokasara,Rural,4.218224286906973,Covered
sambalpur,382310,Tudabahal,Charamal,Rural,4.21894096549102,Covered
sambalpur,382305,Bhaliakata,Charamal,Rural,4.21894096549102,Covered
sambalpur,382304,Kusurda,Charamal,Rural,4.21894096549102,Covered
boudh,418473,Tarabha,Baudh Sadar,Rural,4.218993037671348,Covered
anugul,403434,Nuajagannathpur,Palalahada,Rural,4.219093437791417,Covered
sambalpur,382303,Budhikhamar,Charamal,Rural,4.22124537460794,Covered
sonepur,419627,Patayatpali,Tarbha,Rural,4.221812158290203,Covered
kalahandi,424077,Biriman,Kokasara,Rural,4.221831145134132,Covered
