district,village_id,name,subdistrict,tru_2011,nearest_dist_km,covered
sonepur,419590,Dahaja,Sonapur,Rural,4.594942850037392,Covered
mayurbhanj,390664,Jamsul,Barsahi,Rural,4.595127586188017,Covered
nayagarh,406503,Odakapa,Odagaon,Rural,4.595866071226461,Covered
balangir,421028,Bahyaudar,Saintala,Rural,4.595964974572624,Covered
keonjhar,386036,Banajodi,Kendujhar Sadar,Rural,4.596208763025373,Covered
cuttack,398852,Gahiragadia,Baidyeswar,Rural,4.596872042989045,Covered
cuttack,398878,Gahiragadiapatana,Baidyeswar,Rural,4.596872042989045,Covered
bhadrak,394776,Tentuligaria,Bhadrak Rural,Rural,4.59698409471165,Covered
mayurbhanj,388522,Badsole,Jashipur,Rural,4.597018230538216,Covered
kalahandi,423615,Chapatakhanda,Kegaon,Rural,4.5972415577557,Covered
cuttack,398706,Katarapal,Badamba,Rural,4.59731302252445,Covered
gajapati,414912,Latigan Lati,Garabandha,Rural,4.598232932365949,Covered
kandhamal,415408,Khaliguduri,Phulabani,Rural,4.599190050780047,Covered
jajapur,400397,Rankia,Sukinda,Rural,4.599602986107275,Covered
koraput,428119,Narahandi,Kotpad,Rural,4.599676823772594,Covered
sundargarh,384002,Kurai R F,Talasara,Rural,4.599982197284567,Covered
nayagarh,406499,Podasahi,Odagaon,Rural,4.600008979094558,Covered
sundargarh,385149,Talita,Banei,Rural,4.600329678111062,Covered
mayurbhanj,390240,Sapagadia,Rasagobindapur,Rural,4.60102754728944,Covered
mayurbhanj,390241,Kulabichitranandapur,Rasagobindapur,Rural,4.60102754728944,Covered
mayurbhanj,390239,Gurei,Rasagobindapur,Rural,4.60102754728944,Covered
koraput,428862,Kundar,Kakiriguma,Rural,4.601053717450589,Covered
balangir,421563,Amurla,Titlagarh,Rural,4.6012133251111615,Covered
balangir,421035,Andaldarah,Saintala,Rural,4.6012601568308185,Covered
dhenkanal,402906,Kharagprasad,Motunga,Rural,4.6019100224651766,Covered
boudh,417698,Badakusang,Kantamal,Rural,4.602052071421944,Covered
sundargarh,383609,Daghora,Hemgir,Rural,4.602152044062819,Covered
boudh,417885,Uma,Kantamal,Rural,4.60267009856353,Covered
bhadrak,395556,Jaladharpur,Bansada,Rural,4.602760527888403,Covered
nayagarh,405951,Rakesia,Khandapada,Rural,4.602925521743247,Covered
mayurbhanj,389884,Badtungadhua,Suliapada,Rural,4.602989678998783,Covered
mayurbhanj,388434,Dharmabeda,Jashipur,Rural,4.603232839323258,Covered
baleshwar,394048,Ajipur,Similia,Rural,4.603386184294671,Covered
keonjhar,387026,Bankhidi,Anandapur,Rural,4.60365247591485,Covered
mayurbhanj,388272,Bijatala Hill,Rairangpur,Rural,4.604284109202213,Covered
malkangiri,430848,Gotiguda,Orkel,Rural,4.604368223219964,Covered
kendrapara,395877,Tentuliakolha,Rajnagar,Rural,4.604441726760538,Covered
baleshwar,393542,Maitapur,Khaira,Rural,4.604754126785688,Covered
mayurbhanj,391036,Ambadiha,Udala,Rural,4.604933425044003,Covered
sambalpur,381315,Baunslaga,Govindpur,Rural,4.605089790654833,Covered
kandhamal,417271,Shikabadi,Brahmanigaon,Rural,4.60561545997496,Covered
sambalpur,381772,Sikirdi,Burla,Rural,4.605867434587696,Covered
kalahandi,423751,Kupagaon,Junagarh,Rural,4.605896095903323,Covered
kalahandi,423752,Krushnapur,Junagarh,Rural,4.605896095903323,Covered
bargarh,380256,Khairpali,Sohela,Rural,4.606245955528321,Covered
kalahandi,423750,Baxitulasipali,Junagarh,Rural,4.60630545775145,Covered
koraput,430107,Harmandangi,Kotiya,Rural,4.6063414597884345,Covered
koraput,430104,Phagunsenary,Kotiya,Rural,4.6063414597884345,Covered
koraput,430106,Mahipani,Kotiya,Rural,4.6063414597884345,Covered
koraput,430105,Phattusenary,Kotiya,Rural,4.6063414597884345,Covered
koraput,430109,Solapguda,Kotiya,Rural,4.6063414597884345,Covered
koraput,430126,Nandaparti,Kotiya,Rural,4.6063414597884345,Covered
koraput,430110,Doliamba,Kotiya,Rural,4.6063414597884345,Covered
koraput,430108,Konadora,Kotiya,Rural,4.6063414597884345,Covered
koraput,430111,Barnapadu,Kotiya,Rural,4.6063414597884345,Covered
koraput,428650,Bari,Narayanpatana,Rural,4.6063414597884345,Covered
boudh,418422,Ereda,Baudh Sadar,Rural,4.606373622041217,Covered
jharsuguda,381061,Telenpali,Banaharapali,Rural,4.606924829866756,Covered
rayagada,425393,Penigonda,Bishamakatak,Rural,4.607248709343796,Covered
malkangiri,430414,Saragiguda,Mathili,Rural,4.607627944495159,Covered
mayurbhanj,389790,Chuhat,Suliapada,Rural,4.6078263667061305,Covered
mayurbhanj,389796,Dakhaman,Suliapada,Rural,4.6078263667061305,Covered
mayurbhanj,389822,Baikunthapur,Suliapada,Rural,4.6078263667061305,Covered
mayurbhanj,389793,Sannachna,Suliapada,Rural,4.6078263667061305,Covered
mayurbhanj,389794,Kathsirisi,Suliapada,Rural,4.6078263667061305,Covered
mayurbhanj,389791,Chinaposi,Suliapada,Rural,4.6078263667061305,Covered
